"","Oeuvre","motifs","n","total","nrel","Balzac-Goriot.txt-ut8.txt","Flaubert-Bovary.txt-ut8.txt","Huysmans-Rebours.txt-ut8.txt"
"120","Flaubert-Bovary.txt-ut8.txt","et le NC de le",40,141162,0.000283362377977076,-2.9398,2.9669,-0.3814
"121","Flaubert-Bovary.txt-ut8.txt","le NC de le NP",40,141162,0.000283362377977076,-0.4813,-1.3462,2.1726
"122","Huysmans-Rebours.txt-ut8.txt","le NC de le NP",40,79201,0.000505044128230704,-0.4813,-1.3462,2.1726
"123","Balzac-Goriot.txt-ut8.txt","le NC à le NC",39,110662,0.000352424499828306,-0.5352,0.3244,0.4883
"124","Balzac-Goriot.txt-ut8.txt","NC de DETPOSS NC .",39,110662,0.000352424499828306,0.9566,-0.3203,-1.1193
"125","Flaubert-Bovary.txt-ut8.txt","de le NC . il",39,141162,0.000276278318527649,-1.4365,2.7936,-1.0745
"126","Flaubert-Bovary.txt-ut8.txt","le ADJ NC de le",39,141162,0.000276278318527649,-2.28,-2.5086,7.8914
"127","Flaubert-Bovary.txt-ut8.txt","le NC , à le",39,141162,0.000276278318527649,-4.4164,1.016,2.0113
"128","Flaubert-Bovary.txt-ut8.txt","un NC de NC ADJ",39,141162,0.000276278318527649,-4.0246,0.9372,1.9284
"129","Huysmans-Rebours.txt-ut8.txt","de NC , de NC",39,79201,0.000492418025024937,-3.0277,-1.0637,5.7381
"130","Huysmans-Rebours.txt-ut8.txt","NC ADJ , le NC",39,79201,0.000492418025024937,-2.6218,-3.1013,9.2151
"131","Balzac-Goriot.txt-ut8.txt","avoir PPAS le NC de",38,110662,0.000343387974191683,6.8262,-3.1365,-1.9715
"132","Balzac-Goriot.txt-ut8.txt","un NC de NC ,",38,110662,0.000343387974191683,-2.5595,-2.1631,7.8014
"133","Flaubert-Bovary.txt-ut8.txt","se VIMP à le NC",38,141162,0.000269194259078222,-5.6747,7.5112,-1.2737
"134","Huysmans-Rebours.txt-ut8.txt","à le NC ADJ ,",38,79201,0.000479791921819169,-1.9845,-3.2355,8.2878
"135","Huysmans-Rebours.txt-ut8.txt","de le NC ADJ et",38,79201,0.000479791921819169,-3.3707,-3.9572,11.7269
"136","Balzac-Goriot.txt-ut8.txt","le NC de NP .",37,110662,0.00033435144855506,3.0493,-1.2966,-1.2322
"137","Balzac-Goriot.txt-ut8.txt","le NCCOR de le NC",37,110662,0.00033435144855506,2.3776,-1.4964,-0.6219
"138","Flaubert-Bovary.txt-ut8.txt",", de le NC ,",37,141162,0.000262110199628795,-2.8324,0.5846,1.8484
"139","Flaubert-Bovary.txt-ut8.txt","le NC , un NC",37,141162,0.000262110199628795,-1.947,0.99,0.6979
"140","Huysmans-Rebours.txt-ut8.txt",", un NC de NC",37,79201,0.000467165818613401,-9.099,1.1617,4.123
"141","Balzac-Goriot.txt-ut8.txt","le NC de le NP",36,110662,0.000325314922918436,-0.4813,-1.3462,2.1726
"142","Flaubert-Bovary.txt-ut8.txt",", de le NC de",36,141162,0.000255026140179368,-10.2964,-1.7496,15.4775
"143","Flaubert-Bovary.txt-ut8.txt","de le NC . elle",36,141162,0.000255026140179368,-3.6143,7.4437,-2.4188
"144","Flaubert-Bovary.txt-ut8.txt","le NC et de le",36,141162,0.000255026140179368,-4.3126,-2.7166,11.5413
"145","Flaubert-Bovary.txt-ut8.txt","NC , un NC de",36,141162,0.000255026140179368,-4.5359,0.5187,3.2075
"146","Huysmans-Rebours.txt-ut8.txt","PPAS par le NC de",36,79201,0.000454539715407634,-1.2868,-4.38,8.2853
"147","Flaubert-Bovary.txt-ut8.txt","de le NC , qui",35,141162,0.000247942080729941,-1.72,4.6782,-2.291
"148","Flaubert-Bovary.txt-ut8.txt","de un NC ADJ ,",35,141162,0.000247942080729941,-1.3367,-0.3968,1.8389
"149","Flaubert-Bovary.txt-ut8.txt","le NC de DETPOSS NCCOR",35,141162,0.000247942080729941,-2.4588,6.6496,-3.0907
"150","Flaubert-Bovary.txt-ut8.txt","le NC de NC .",35,141162,0.000247942080729941,0.3726,0.3343,-0.4677
"151","Flaubert-Bovary.txt-ut8.txt","NC de NC , et",35,141162,0.000247942080729941,0.3477,1.2401,-1.8791
"152","Flaubert-Bovary.txt-ut8.txt","VIMP le NC de le",35,141162,0.000247942080729941,-2.833,1.5768,0.6326
"153","Balzac-Goriot.txt-ut8.txt","NC à le NC de",34,110662,0.00030724187164519,0.5693,0.6114,-1.2888
"154","Flaubert-Bovary.txt-ut8.txt","à le NC de DETPOSS",34,141162,0.000240858021280515,-1.0856,1.1298,0.3047
"155","Flaubert-Bovary.txt-ut8.txt","le NC , et le",34,141162,0.000240858021280515,-2.2149,5.1232,-2.0408
"156","Flaubert-Bovary.txt-ut8.txt","NC de le NC ;",34,141162,0.000240858021280515,-5.4223,1.5703,1.6483
"157","Huysmans-Rebours.txt-ut8.txt",", à le NC ADJ",34,79201,0.000429287508996099,-4.8873,-4.5846,14.5744
"158","Huysmans-Rebours.txt-ut8.txt","le NC de NC et",34,79201,0.000429287508996099,-5.5384,-1.7352,9.8988
"159","Huysmans-Rebours.txt-ut8.txt","NC de le ADJ NC",34,79201,0.000429287508996099,1.6485,-5.2375,2.1234
"160","Balzac-Goriot.txt-ut8.txt","dans le NC de le",33,110662,0.000298205346008567,-0.4575,-0.7495,1.2594
"161","Balzac-Goriot.txt-ut8.txt","le NC ADJ de le",33,110662,0.000298205346008567,-5.587,-3.7697,15.9546
"162","Flaubert-Bovary.txt-ut8.txt",", et le NC de",33,141162,0.000233773961831088,-1.6061,5.2435,-3.0907
"163","Flaubert-Bovary.txt-ut8.txt","de le NC , VIMP",33,141162,0.000233773961831088,-6.6321,2.7003,1.0163
"164","Flaubert-Bovary.txt-ut8.txt","le NC de NC ADJ",33,141162,0.000233773961831088,-5.1519,0.6453,3.1635
"165","Flaubert-Bovary.txt-ut8.txt","le NC sur le NC",33,141162,0.000233773961831088,-2.0022,3.91,-1.3393
"166","Flaubert-Bovary.txt-ut8.txt","NC de le NC VIMP",33,141162,0.000233773961831088,-2.3248,4.2071,-1.2737
"167","Huysmans-Rebours.txt-ut8.txt","ADJ NC de NC ,",33,79201,0.000416661405790331,-2.8324,-0.4028,3.4582
"168","Huysmans-Rebours.txt-ut8.txt","dans le NC de le",33,79201,0.000416661405790331,-0.4575,-0.7495,1.2594
"169","Huysmans-Rebours.txt-ut8.txt","le NC à le NC",33,79201,0.000416661405790331,-0.5352,0.3244,0.4883
"170","Huysmans-Rebours.txt-ut8.txt","le NC de le ADJ",33,79201,0.000416661405790331,1.4412,-4.3747,1.8676
"171","Huysmans-Rebours.txt-ut8.txt","le NC de NC de",33,79201,0.000416661405790331,-3.6838,-1.9648,8.4807
"172","Huysmans-Rebours.txt-ut8.txt","NC de NC ADJ ,",33,79201,0.000416661405790331,-8.5768,2.9938,1.6644
"173","Balzac-Goriot.txt-ut8.txt","ADJ NC de le NC",32,110662,0.000289168820371943,-2.2363,-2.9231,8.5912
"174","Balzac-Goriot.txt-ut8.txt","le NC de le NCABS",32,110662,0.000289168820371943,0.8847,-1.1792,0.4516
"175","Balzac-Goriot.txt-ut8.txt","le NC de NC ,",32,110662,0.000289168820371943,-10.1048,1.5858,4.6437
"176","Balzac-Goriot.txt-ut8.txt","NC , le NC ,",32,110662,0.000289168820371943,-2.6553,0.9346,1.2181
"177","Balzac-Goriot.txt-ut8.txt","NC , PRES le NC",32,110662,0.000289168820371943,5.0184,-5.5605,-0.3464
"178","Flaubert-Bovary.txt-ut8.txt",", dans le NC ,",32,141162,0.000226689902381661,-7.2517,2.9386,0.9769
"179","Flaubert-Bovary.txt-ut8.txt","à le NC de NC",32,141162,0.000226689902381661,-2.0311,-0.3036,1.9798
"180","Flaubert-Bovary.txt-ut8.txt","ADJ NC de NC ,",32,141162,0.000226689902381661,-2.8324,-0.4028,3.4582
"181","Flaubert-Bovary.txt-ut8.txt","de le NC et de",32,141162,0.000226689902381661,-4.8285,-3.5695,14.0252
"182","Flaubert-Bovary.txt-ut8.txt","de NC à autre ,",32,141162,0.000226689902381661,-6.1857,8.7241,-1.7183
"183","Flaubert-Bovary.txt-ut8.txt","le NC ADJ de DETPOSS",32,141162,0.000226689902381661,-1.5602,2.7219,-0.9101
"184","Huysmans-Rebours.txt-ut8.txt",", le NC , le",32,79201,0.000404035302584563,-1.578,0.5432,1.0325
"185","Huysmans-Rebours.txt-ut8.txt","ADJ de le NC ,",32,79201,0.000404035302584563,-3.3776,-0.5662,4.5723
"186","Huysmans-Rebours.txt-ut8.txt","NC , un NC de",32,79201,0.000404035302584563,-4.5359,0.5187,3.2075
"187","Huysmans-Rebours.txt-ut8.txt","NC et de NC ,",32,79201,0.000404035302584563,-5.9118,-2.7943,12.3637
"188","Balzac-Goriot.txt-ut8.txt","de le NC ADJ ,",31,110662,0.00028013229473532,-10.4787,-1.4415,15.9546
"189","Balzac-Goriot.txt-ut8.txt","PPAS à le NC de",31,110662,0.00028013229473532,1.0997,-2.0927,0.8219
"190","Flaubert-Bovary.txt-ut8.txt","INF le NC de le",31,141162,0.000219605842932234,-0.4801,-0.6574,1.1733
"191","Flaubert-Bovary.txt-ut8.txt","NC . le NC de",31,141162,0.000219605842932234,-0.3504,0.7519,-0.6439
"192","Huysmans-Rebours.txt-ut8.txt","le NC ADJ , le",31,79201,0.000391409199378796,-2.7528,-1.755,6.8432
"193","Huysmans-Rebours.txt-ut8.txt","NC , le NC ADJ",31,79201,0.000391409199378796,-3.615,-1.009,6.1319
"194","Huysmans-Rebours.txt-ut8.txt","NC ADJ , de le",31,79201,0.000391409199378796,-1.8739,-1.614,5.3047
"195","Balzac-Goriot.txt-ut8.txt","DETPOSS NC , DETPOSS NC",30,110662,0.000271095769098697,1.2812,-2.1609,0.7049
"196","Balzac-Goriot.txt-ut8.txt","le NC . INTJ !",30,110662,0.000271095769098697,8.45,-2.6755,-4.3945
"197","Balzac-Goriot.txt-ut8.txt","le NCABS de le NC",30,110662,0.000271095769098697,-1.5944,-0.6455,2.8349
"198","Flaubert-Bovary.txt-ut8.txt",", dans le NC de",30,141162,0.000212521783482807,-3.802,0.6019,2.4021
"199","Flaubert-Bovary.txt-ut8.txt","ADV de le NC ,",30,141162,0.000212521783482807,-2.5487,2.3578,0.3133
"200","Flaubert-Bovary.txt-ut8.txt","le NC dans le NC",30,141162,0.000212521783482807,0.3173,0.9858,-1.0727
"201","Huysmans-Rebours.txt-ut8.txt","de un NC ADJ ,",30,79201,0.000378783096173028,-1.3367,-0.3968,1.8389
"202","Balzac-Goriot.txt-ut8.txt","de le NC , et",29,110662,0.000262059243462074,-1.4997,5.4419,-3.3612
