"","mots","ngrammot","motifs","Oeuvre"
"268","de","de Montmartre et les","de NP et le","Balzac-Goriot"
"269","Montmartre","Montmartre et les hauteurs","NP et le NC","Balzac-Goriot"
"270","et","et les hauteurs de","et le NC de","Balzac-Goriot"
"271","les","les hauteurs de Montrouge","le NC de NP","Balzac-Goriot"
"272","hauteurs","hauteurs de Montrouge ,","NC de NP ,","Balzac-Goriot"
"273","de","de Montrouge , dans","de NP , dans","Balzac-Goriot"
"274","Montrouge","Montrouge , dans cette","NP , dans ce","Balzac-Goriot"
"275",",",", dans cette illustre",", dans ce ADJ","Balzac-Goriot"
"276","dans","dans cette illustre vallée","dans ce ADJ NC","Balzac-Goriot"
"277","cette","cette illustre vallée de","ce ADJ NC de","Balzac-Goriot"
"278","illustre","illustre vallée de plâtras","ADJ NC de NC","Balzac-Goriot"
"279","vallée","vallée de plâtras incessamment","NC de NC ADVPHA","Balzac-Goriot"
"280","de","de plâtras incessamment près","de NC ADVPHA ADV","Balzac-Goriot"
"281","plâtras","plâtras incessamment près de","NC ADVPHA ADV de","Balzac-Goriot"
"282","incessamment","incessamment près de tomber","ADVPHA ADV de INF","Balzac-Goriot"
"283","près","près de tomber et","ADV de INF et","Balzac-Goriot"
"284","de","de tomber et de","de INF et de","Balzac-Goriot"
"285","tomber","tomber et de ruisseaux","INF et de NC","Balzac-Goriot"
"286","et","et de ruisseaux noirs","et de NC ADJ","Balzac-Goriot"
"287","de","de ruisseaux noirs de","de NC ADJ de","Balzac-Goriot"
"288","ruisseaux","ruisseaux noirs de boue","NC ADJ de NC","Balzac-Goriot"
"289","noirs","noirs de boue ;","ADJ de NC ;","Balzac-Goriot"
"290","de","de boue ; vallée","de NC ; NC","Balzac-Goriot"
"291","boue","boue ; vallée remplie","NC ; NC PPAS","Balzac-Goriot"
"292",";","; vallée remplie de","; NC PPAS de","Balzac-Goriot"
"293","vallée","vallée remplie de souffrances","NC PPAS de NCABS","Balzac-Goriot"
"294","remplie","remplie de souffrances réelles","PPAS de NCABS ADJ","Balzac-Goriot"
"295","de","de souffrances réelles ,","de NCABS ADJ ,","Balzac-Goriot"
"296","souffrances","souffrances réelles , de","NCABS ADJ , de","Balzac-Goriot"
"297","réelles","réelles , de joies","ADJ , de NCABS","Balzac-Goriot"
"298",",",", de joies souvent",", de NCABS ADV","Balzac-Goriot"
"299","de","de joies souvent fausses","de NCABS ADV ADJ","Balzac-Goriot"
"300","joies","joies souvent fausses ,","NCABS ADV ADJ ,","Balzac-Goriot"
"301","souvent","souvent fausses , et","ADV ADJ , et","Balzac-Goriot"
"302","fausses","fausses , et si","ADJ , et si","Balzac-Goriot"
